1_prefers_kofte_hiç,1_prefers_kofte_az,1_prefers_kofte_orta,1_prefers_kofte_sık,1_prefers_kofte_çoksık,2_prefers_kebab_guvec_hiç,2_prefers_kebab_guvec_az,2_prefers_kebab_guvec_orta,2_prefers_kebab_guvec_sık,2_prefers_kebab_guvec_çoksık,3_prefers_et_kizartma_hiç,3_prefers_et_kizartma_az,3_prefers_et_kizartma_orta,3_prefers_et_kizartma_sık,3_prefers_et_kizartma_çoksık,4_prefers_tavuk_hiç,4_prefers_tavuk_az,4_prefers_tavuk_orta,4_prefers_tavuk_sık,4_prefers_tavuk_çoksık,5_prefers_balik_hiç,5_prefers_balik_az,5_prefers_balik_orta,5_prefers_balik_sık,5_prefers_balik_çoksık,6_prefers_sebze_hiç,6_prefers_sebze_az,6_prefers_sebze_orta,6_prefers_sebze_sık,6_prefers_sebze_çoksık,7_prefers_zeytinyagli_hiç,7_prefers_zeytinyagli_az,7_prefers_zeytinyagli_orta,7_prefers_zeytinyagli_sık,7_prefers_zeytinyagli_çoksık,8_prefers_etli_sebze_hiç,8_prefers_etli_sebze_az,8_prefers_etli_sebze_orta,8_prefers_etli_sebze_sık,8_prefers_etli_sebze_çoksık,9_prefers_corba_hiç,9_prefers_corba_az,9_prefers_corba_orta,9_prefers_corba_sık,9_prefers_corba_çoksık,10_prefers_pilav_hiç,10_prefers_pilav_az,10_prefers_pilav_orta,10_prefers_pilav_sık,10_prefers_pilav_çoksık,11_prefers_borek_hiç,11_prefers_borek_az,11_prefers_borek_orta,11_prefers_borek_sık,11_prefers_borek_çoksık,12_prefers_makarna_eriste_hiç,12_prefers_makarna_eriste_az,12_prefers_makarna_eriste_orta,12_prefers_makarna_eriste_sık,12_prefers_makarna_eriste_çoksık,13_prefers_salata_soguk_hiç,13_prefers_salata_soguk_az,13_prefers_salata_soguk_orta,13_prefers_salata_soguk_sık,13_prefers_salata_soguk_çoksık,14_prefers_tatli_hiç,14_prefers_tatli_az,14_prefers_tatli_orta,14_prefers_tatli_sık,14_prefers_tatli_çoksık,15_prefers_icecek_hiç,15_prefers_icecek_az,15_prefers_icecek_orta,15_prefers_icecek_sık,15_prefers_icecek_çoksık,16_prefers_meyve_hiç,16_prefers_meyve_az,16_prefers_meyve_orta,16_prefers_meyve_sık,16_prefers_meyve_çoksık
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
