id,food,portion_weight,color,consistency,price,energy,protein,fat,carbohydrate,fiber
1,Et haşlama,100,Kahverengi,Yumuşak,500,137.4,13.5,8.9,0.8,0.2
2,Et kızartma,150,Kahverengi,Katı,500,257.8,42.5,9.6,0.0,0.0
3,Rosto et(patatesli),160,kahverengi,katı,500,193.1,16.6,8.3,12.4,1.0
4,Misket köfte,150,kahverengi,yumuşak,400,303.3,29.5,20.4,0.7,0.0
5,Fırın Köfte,150,kırmızı,katı,400,279.6,23.3,14.6,13.7,1.2
6,Kadınbudu Köfte,100,kahverengi,katı,400,176.6,9.5,12.2,7.5,0.4
7,Terbiyeli Köfte,250,kırmızı,yumuşak,400,390.2,26.2,24.3,16.6,1.1
8,İzmir Köfte,180,kahverengi,katı,400,264.6,15.6,12.7,21.4,1.7
9,Tekirdağ köfte,100,kahverengi,katı,400,184.5,16.8,11.0,4.7,0.6
10,Hindi Izgara Köfte,100,kahverengi,katı,200,107.3,17.7,2.3,3.8,0.4
11,Kaşarlı köfte,150,kahverengi,katı,400,339.5,25.8,24.4,4.6,0.5
12,Sulu köfte,180,kırmızı,yumuşak,400,219.4,17.5,11.8,10.9,1.3
13,Çiftlik köfte,190,kahverengi,katı,400,251.1,14.7,11.9,20.9,2.8
14,Izgara Köfte,100,kahverengi,katı,400,199.8,16.2,12.3,6.2,0.5
15,Döner kebap,300,kahverengi,katı,500,342.0,18.4,9.8,44.2,2.0
16,Cağ Kebabı,100,kahverengi,katı,500,302.3,21.1,24.2,0.0,0.0
17,Bahçıvan Kebabı,250,kırmızı,yumuşak,500,283.2,26.0,14.1,12.6,2.3
18,Patlıcan kebabı,150,kırmızı,katı,500,171.7,11.7,12.9,2.3,1.2
19,Ciğer Tas Kebabı,120,kahverengi,katı,500,189.9,11.6,11.2,10.6,0.7
20,İskender Kebabı,300,kahverengi,katı,500,522.7,25.7,24.7,48.2,3.7
21,Orman Kebabı,150,kırmızı,yumuşak,500,199.3,11.7,13.5,7.7,1.5
22,Tas kebabı,100,kahverengi,yumuşak,500,138.6,9.8,8.0,6.7,0.7
23,Tandır kebabı,150,kahverengi,katı,500,293.6,22.5,22.4,1.0,0.2
24,Tavuk Şiş Kebap,300,beyaz,katı,200,304.0,41.6,13.3,4.2,1.5
25,Kuzu Şiş Kebap,300,kahverengi,katı,500,375.7,21.3,24.6,17.6,3.1
26,Kuzu Pirzola,120,kahverengi,katı,500,316.1,30.1,21.9,0.0,0.0
27,Tavuk Pane,100,sarı,katı,200,207.2,16.0,7.5,18.7,1.1
28,Tavuk Haşlama,100,beyaz,katı,200,188.3,25.9,9.4,0.0,0.0
29,Tavuk Göğüs Şinitzel,100,sarı,katı,200,207.2,16.0,7.5,18.7,1.1
30,Tavuk Kanat (ızgara),120,kahverengi,katı,200,273.6,26.1,19.0,0.0,0.0
